山名,標高,所在地,lat,lon,登頂済み
飯野山,422,香川県,34.2753,133.8422,False
五色台,445,香川県,34.3491,133.9461,False
象頭山,521,香川県,34.1936,133.8055,False
雲辺寺山,927,香川県,34.0353,133.7236,False
大川山,1043,香川県,34.0867,133.9161,False
竜王山,1060,香川県,34.1147,134.0303,False
星ヶ城山,817,香川県(小豆島),34.51,134.3211,False
剣山,1955,徳島県,33.8522,134.0933,False
次郎笈,1930,徳島県,33.8436,134.0828,False
三嶺,1893,徳島・高知,33.8394,133.9858,False
高越山,1133,徳島県,34.015,134.2386,False
石鎚山,1982,愛媛県,33.7711,133.1154,False
瓶ヶ森,1897,愛媛県,33.7939,133.1953,False
伊予富士,1756,愛媛県,33.7917,133.2433,False
東赤石山,1706,愛媛県,33.8764,133.3744,False
笹ヶ峰,1859,愛媛県,33.8208,133.2711,False
三本杭,1229,愛媛県,33.2133,132.6167,False
篠山,1065,愛媛・高知,32.9644,132.6594,False
眉山,290,徳島県,34.0686,134.5347,False
津峰山,284,徳島県,33.9011,134.6644,False
御在所山,1079,高知県,33.6811,133.7786,False
工石山,1176,高知県,33.6667,133.5186,False
