山名,標高,所在地,lat,lon,登頂済み,登頂日
星ヶ城山,817,香川県,34.51,134.3211,False,
女体山,790,香川県,34.2258,134.2047,False,
大滝山,946,香川・徳島,34.1367,134.135,False,
竜王山,1060,香川・徳島,34.1147,134.0303,False,
大川山,1043,香川・徳島,34.0867,133.9161,False,
屋島,292,香川県,34.3608,134.1011,False,
五色台,445,香川県,34.3491,133.9461,False,
飯野山,422,香川県,34.2753,133.8422,False,
我拝師山,481,香川県,34.2211,133.7578,False,
象頭山,521,香川県,34.1936,133.8055,False,
雲辺寺山,927,香川・徳島,34.0353,133.7236,False,
紫雲出山,352,香川県,34.2483,133.595,False,
剣山,1955,徳島県,33.8522,134.0933,False,
次郎笈,1930,徳島県,33.8436,134.0828,False,
一ノ森,1880,徳島県,33.8544,134.1103,False,
三嶺,1893,徳島・高知,33.8394,133.9858,False,
天狗塚,1812,徳島県,33.8189,133.9317,False,
矢筈山,1848,徳島県,33.9214,133.9928,False,
高越山,1133,徳島県,34.015,134.2386,False,
中津峰山,773,徳島県,33.9822,134.5453,False,
眉山,290,徳島県,34.0686,134.5347,False,
津峰山,284,徳島県,33.9011,134.6644,False,
太竜寺山,618,徳島県,33.8814,134.5203,False,
大麻山,538,徳島県,34.1758,134.5028,False,
高城山,1630,徳島県,33.8764,134.3439,False,
雲早山,1496,徳島県,33.9189,134.3586,False,
旭ヶ丸,1020,徳島県,33.9536,134.4286,False,
塔丸,1713,徳島県,33.8767,134.0381,False,
丸笹山,1712,徳島県,33.8767,134.1033,False,
石堂山,1636,徳島県,33.9125,134.0536,False,
黒笠山,1703,徳島県,33.8886,133.9842,False,
石鎚山,1982,愛媛県,33.7711,133.1154,False,
瓶ヶ森,1897,愛媛・高知,33.7939,133.1953,False,
伊予富士,1756,愛媛・高知,33.7917,133.2433,False,
笹ヶ峰,1859,愛媛・高知,33.8208,133.2711,False,
ちち山,1855,愛媛・高知,33.8258,133.2847,False,
筒上山,1860,愛媛・高知,33.7558,133.1461,False,
二ノ森,1929,愛媛県,33.7631,133.0886,False,
堂ヶ森,1689,愛媛県,33.7381,133.0536,False,
東赤石山,1706,愛媛県,33.8764,133.3744,False,
西赤石山,1626,愛媛県,33.8711,133.3283,False,
二ッ岳,1647,愛媛県,33.915,133.435,False,
平家平,1693,愛媛・高知,33.8164,133.3444,False,
皿ヶ嶺,1271,愛媛県,33.7225,132.9056,False,
三本杭,1229,愛媛県,33.2133,132.6167,False,
篠山,1065,愛媛・高知,32.9644,132.6594,False,
鬼ヶ城山,1151,愛媛県,33.2189,132.5936,False,
高縄山,986,愛媛県,33.9481,132.8344,False,
赤星山,1453,愛媛県,33.9186,133.2844,False,
翠波峰,892,愛媛県,33.9511,133.5256,False,
工石山,1176,高知県,33.6667,133.5186,False,
梶ヶ森,1400,高知県,33.7533,133.7536,False,
御在所山,1079,高知県,33.6811,133.7786,False,
稲叢山,1506,高知県,33.7431,133.3517,False,
雨ヶ森,1390,高知県,33.6067,133.2186,False,
白髪山(本山),1469,高知県,33.8053,133.6464,False,
不入山,1336,高知県,33.4731,133.0036,False,
鳥形山,1459,高知県,33.4764,133.0644,False,
蟠蛇森,769,高知県,33.4011,133.2786,False,
虚空蔵山,675,高知県,33.4353,133.3144,False,
妹背山,404,高知県,32.9064,132.7486,False,
